Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-OTT-03-04-1,SRT-ABC-OTT-03,Broadcast,04_1035_Caracol TV,1035_Caracol TV,multicast,ens192,238.77.24.56,UDP,10000,10.7.251.104,connected,5.485,05/29/26 12:49,HAI_3_ABC_JBC_4,SRT,10070,caller,ens224,189.28.31.3,5.487,connected,481.58,390.21
SRT-ABC-OTT-03-1014_ANTENA_3__HD_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1014_ANTENA_3__HD_AWS_BU,1014_ANTENA_3__HD_AWS_BU,multicast,ens192,239.77.17.29,UDP,8999,10.77.23.29,connected,10.216,05/29/26 12:49,1014_ANTENA_3__HD_AWS_BU_AWS_BU,SRT,11001,listener,ens224,0.0.0.0,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-1028_C5N_CANAL_5_NOTICIAS_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1028_C5N_CANAL_5_NOTICIAS_AWS_BU,1028_C5N_CANAL_5_NOTICIAS_AWS_BU,multicast,ens192,232.248.132.6,UDP,5007,10.77.32.132,connected,15.843,05/29/26 12:49,1028_C5N_CANAL_5_NOTICIAS_AWS_BU_AWS_BU,SRT,11002,listener,ens224,0.0.0.0,15.845,connected,481.58,390.21
SRT-ABC-OTT-03-1031_CANAL_26_HD_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1031_CANAL_26_HD_AWS_BU,1031_CANAL_26_HD_AWS_BU,multicast,ens192,232.248.136.7,UDP,5007,10.77.32.136,connected,15.833,05/29/26 12:49,1031_CANAL_26_HD_AWS_BU_AWS_BU,SRT,11003,listener,ens224,0.0.0.0,15.835,connected,481.58,390.21
SRT-ABC-OTT-03-1032_CANAL 9 HD_DR-1,SRT-ABC-OTT-03,Broadcast,1032_CANAL 9 HD_DR,1032_CANAL 9 HD_DR,multicast,ens192,232.248.132.5,UDP,5007,10.77.32.132,connected,15.834,05/29/26 12:49,1032_CANAL 9 HD_PR_AWS_PR,SRT,10012,caller,ens224,189.28.31.3,15.835,connected,481.58,390.21
SRT-ABC-OTT-03-1034_CANAL_UNO_PR-1,SRT-ABC-OTT-03,Broadcast,1034_CANAL_UNO_PR,1034_CANAL_UNO_PR,multicast,ens192,239.77.28.21,UDP,8999,10.77.28.21,connected,8.173,05/29/26 12:49,1034_CANAL_UNO_PR_AWS_PR,SRT,11020,listener,ens224,0.0.0.0,8.173,connected,481.58,390.21
SRT-ABC-OTT-03-1048_CITY_TV_PR-1,SRT-ABC-OTT-03,Broadcast,1048_CITY_TV_PR,1048_CITY_TV_PR,multicast,ens192,239.77.16.79,UDP,8999,10.77.22.79,connected,15.324,05/29/26 12:49,1048_CITY_TV_PR_AWS_PR,SRT,11021,listener,ens224,0.0.0.0,15.324,connected,481.58,390.21
SRT-ABC-OTT-03-1055_CRONICA_TV_DR-1,SRT-ABC-OTT-03,Broadcast,1055_CRONICA_TV_DR,1055_CRONICA_TV_DR,multicast,ens192,239.77.17.182,UDP,8999,10.77.23.182,connected,20.417,05/29/26 12:49,JBC03,SRT,10014,caller,ens224,189.28.31.3,20.417,connected,481.58,390.21
SRT-ABC-OTT-03-1056_DeporTV_AWS_PR-1,SRT-ABC-OTT-03,Broadcast,1056_DeporTV_AWS_PR,1056_DeporTV_AWS_PR,multicast,ens192,239.77.16.187,UDP,8999,10.77.22.187,connected,74.236,05/29/26 12:49,1056_DeporTV_AWS_PR,SRT,11024,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
SRT-ABC-OTT-03-1062_DSports URU-1,SRT-ABC-OTT-03,Broadcast,1062_DSports URU,1062_DSports URU,multicast,ens192,232.248.134.8,UDP,5007,10.77.32.134,connected,15.425,05/29/26 12:49,HAI_3_ABC_JBC_11,SRT,10077,caller,ens224,189.28.31.3,15.425,connected,481.58,390.21
SRT-ABC-OTT-03-1067_DIRECTV_SPORTS_OCC_4_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1067_DIRECTV_SPORTS_OCC_4_AWS_BU,1067_DIRECTV_SPORTS_OCC_4_AWS_BU,multicast,ens192,232.248.133.8,UDP,5007,10.77.32.133,connected,15.939,05/29/26 12:49,1067_DIRECTV_SPORTS_OCC_4_AWS_BU_AWS_BU,SRT,11004,listener,ens224,0.0.0.0,15.939,connected,481.58,390.21
SRT-ABC-OTT-03-1079_DISCOVERY_KIDS_HD_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1079_DISCOVERY_KIDS_HD_AWS_BU,1079_DISCOVERY_KIDS_HD_AWS_BU,multicast,ens192,239.77.29.78,UDP,8999,10.77.29.78,connected,13.281,05/29/26 12:49,1079_DISCOVERY_KIDS_HD_AWS_BU_AWS_BU,SRT,11017,listener,ens224,0.0.0.0,13.281,connected,481.58,390.21
SRT-ABC-OTT-03-1103_ESPN_3_SUR_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1103_ESPN_3_SUR_AWS_BU,1103_ESPN_3_SUR_AWS_BU,multicast,ens192,239.77.29.43,UDP,8999,10.77.29.43,connected,15.324,05/29/26 12:49,1103_ESPN_3_SUR_AWS_BU_AWS_BU,SRT,11006,listener,ens224,0.0.0.0,15.324,connected,481.58,390.21
SRT-ABC-OTT-03-1116_ESPN_5_CHILE_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1116_ESPN_5_CHILE_AWS_BU,1116_ESPN_5_CHILE_AWS_BU,multicast,ens192,239.77.17.70,UDP,8999,10.77.23.70,connected,15.324,05/29/26 12:49,1116_ESPN_5_CHILE_AWS_BU_AWS_BU,SRT,11007,listener,ens224,0.0.0.0,15.321,connected,481.58,390.21
SRT-ABC-OTT-03-1117_ESPN_PREMIUM_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1117_ESPN_PREMIUM_AWS_BU,1117_ESPN_PREMIUM_AWS_BU,multicast,ens192,239.77.17.76,UDP,8999,10.77.23.76,connected,20.429,05/29/26 12:49,1117_ESPN_PREMIUM_AWS_BU_AWS_BU,SRT,11018,listener,ens224,0.0.0.0,20.429,connected,481.58,390.21
SRT-ABC-OTT-03-1129_FX_AWS_PR-1,SRT-ABC-OTT-03,Broadcast,1129_FX_AWS_PR,1129_FX_AWS_PR,multicast,ens192,239.77.16.58,UDP,8999,10.77.22.58,connected,12.259,05/29/26 12:49,1129_FX_AWS_PR_AWS_PR,SRT,11014,listener,ens224,0.0.0.0,12.259,connected,481.58,390.21
SRT-ABC-OTT-03-1159_LIFETIME_HD_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1159_LIFETIME_HD_AWS_BU,1159_LIFETIME_HD_AWS_BU,multicast,ens192,239.77.17.12,UDP,8999,10.77.23.12,connected,13.281,05/29/26 12:49,1159_LIFETIME_HD_AWS_BU_AWS_BU,SRT,11009,listener,ens224,0.0.0.0,13.281,connected,481.58,390.21
SRT-ABC-OTT-03-1163_MONTE_CARLO_TV_AWS_BU-1,SRT-ABC-OTT-03,Broadcast,1163_MONTE_CARLO_TV_AWS_BU,1163_MONTE_CARLO_TV_AWS_BU,multicast,ens192,239.77.17.131,UDP,8999,10.77.23.131,connected,10.216,05/29/26 12:49,1163_MONTE_CARLO_TV_AWS_BU_AWS_BU,SRT,11010,listener,ens224,0.0.0.0,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-1187_Canal 10_DR-1,SRT-ABC-OTT-03,Broadcast,1187_Canal 10_DR,1187_Canal 10_DR,multicast,ens192,239.77.17.124,UDP,8999,10.77.23.124,connected,15.324,05/29/26 12:49,JBC03,SRT,10013,caller,ens224,189.28.31.3,15.324,connected,481.58,390.21
SRT-ABC-OTT-03-1274_INFORMACION_PERIODÍSTICA_AWS_PR-1,SRT-ABC-OTT-03,Broadcast,1274_INFORMACION_PERIODÍSTICA_AWS_PR,1274_INFORMACION_PERIODÍSTICA_AWS_PR,multicast,ens192,232.248.5.10,UDP,5007,10.77.32.5,connected,15.840,05/29/26 12:49,1274_INFORMACION_PERIODÍSTICA_AWS_PR_AWS_PR,SRT,11016,listener,ens224,0.0.0.0,15.837,connected,481.58,390.21
SRT-ABC-OTT-03-1286_KZO_DR-1,SRT-ABC-OTT-03,Broadcast,1286_KZO_DR,1286_KZO_DR,multicast,ens192,232.248.134.10,UDP,5007,10.77.32.134,connected,15.861,05/29/26 12:49,JBC03,SRT,10016,caller,ens224,189.28.31.3,15.861,connected,481.58,390.21
SRT-ABC-OTT-03-15-1,SRT-ABC-OTT-03,Broadcast,15_1157_Latina,Latina,multicast,ens192,239.77.17.150,UDP,8999,10.77.23.150,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_15,SRT,10081,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-17-1,SRT-ABC-OTT-03,Broadcast,17_1162_Mega HD_CHI,Mega HD_CHI,multicast,ens192,239.77.17.41,UDP,8999,10.77.23.41,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_17,SRT,10083,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-19-1,SRT-ABC-OTT-03,Broadcast,19_AWS_1221_TVN_PR,AWS_1221_TVN_PR,multicast,ens192,239.77.16.93,UDP,8999,10.77.22.93,connected,15.324,05/29/26 12:49,Connect_to_AWS_11005,SRT,11005,listener,ens224,0.0.0.0,15.324,connected,481.58,390.21
SRT-ABC-OTT-03-20-1,SRT-ABC-OTT-03,Broadcast,20_AWS_1030_Canal 13 CHI,1030_Canal 13 CHI,multicast,ens192,239.77.17.25,UDP,8999,10.77.23.25,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_23,SRT,10089,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
SRT-ABC-OTT-03-20-2,SRT-ABC-OTT-03,Broadcast,20_AWS_1030_Canal 13 CHI,1030_Canal 13 CHI,,,,,,,,,05/29/26 12:49,HAI_3_ABC_JBC_3,SRT,10078,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-22-1,SRT-ABC-OTT-03,Broadcast,22_AWS_1295_EXITOSA_TV_PR,1295_EXITOSA_TV_PR,multicast,ens192,239.77.28.95,UDP,8999,10.77.28.95,connected,12.259,05/29/26 12:49,Connect_to_AWS_11011,SRT,11011,listener,ens224,0.0.0.0,12.259,connected,481.58,390.21
