Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-BBC-OTT-09-01-1,SRT-BBC-OTT-09,Broadcast,01_TESTE_AWS_VGW_0006_BAND_RTR,01_TESTE_AWS_VGW_0006_BAND_SRC,multicast,ens34,232.105.0.203,UDP,50000,10.19.73.72,disconnected,0.0,05/29/26 12:52,AWS_TESTE_DEV,RTP,50000,unicast,ens35,10.176.25.123,0,,126.27,63.28
SRT-BBC-OTT-09-89-1,SRT-BBC-OTT-09,Broadcast,89_WSC_1069_DTV_Sports_OCC6_PRI_Alternative,DTV_SPO_OCC6_WSC_PRI_Alternative,listener,ens35,0.0.0.0,SRT,10041,0.0.0.0,connected,8.173,05/29/26 12:52,DTV_SPO_OCC6_WSC_PRI,UDP,50100,multicast,ens34,232.109.201.41,8.173,connected,126.27,63.28
SRT-BBC-OTT-09-90-1,SRT-BBC-OTT-09,Broadcast,90_WSC_1070_DTV_Sports_OCC7_PRI_Alternative_WSC,90_WSC_1070_DTV_Sports_OCC7_PRI_Alterna_SRC,listener,ens35,0.0.0.0,SRT,10042,0.0.0.0,connected,41.230,05/29/26 12:52,90_WSC_1070_DTV_Sports_OCC7_PRI_Alterna,UDP,50100,multicast,ens34,232.109.201.42,41.230,connected,126.27,63.28
SRT-BBC-OTT-09-D18-1,SRT-BBC-OTT-09,Broadcast,D18_P_TESTE_AWS_RTR,D18_TESTE_AWS_SRC,multicast,ens34,232.108.0.23,UDP,50000,10.19.69.23,connected,36.091,05/29/26 12:52,AWS_TATA,SRT,5000,caller,ens35,16.146.181.212,0.000,disconnected,126.27,63.28
SRT-BBC-OTT-09-D18-2,SRT-BBC-OTT-09,Broadcast,D18_P_TESTE_AWS_RTR,D18_TESTE_AWS_SRC,,,,,,,,,05/29/26 12:52,D18_MCAST,UDP,55000,multicast,ens34,232.15.205.199,0.0,disconnected,126.27,63.28
SRT-BBC-OTT-09-TESTE_SRC_RTR-1,SRT-BBC-OTT-09,Broadcast,TESTE_SRC_RTR,TESTE_SRC,multicast,ens34,232.105.10.203,UDP,50000,10.19.75.72,connected,15.367,05/29/26 12:52,
SRT-BBC-OTT-09-Teste_ETB-1,SRT-BBC-OTT-09,Broadcast,Teste_ETB,Teste ETB,caller,ens35,168.195.108.101,SRT,10007,0.0.0.0,disconnected,0.0,05/29/26 12:52,
SRT-BBC-OTT-09-Teste_Multicast_Input-1,SRT-BBC-OTT-09,Broadcast,Teste_Multicast_Input,Teste,multicast,ens34,232.105.1.11,UDP,50000,10.19.73.170,disconnected,0.0,05/29/26 12:52,Teste AWS EVO,SRT,11020,listener,ens35,0.0.0.0,0,disconnected,126.27,63.28
SRT-BBC-OTT-09-Teste_source_from_CBC-1,SRT-BBC-OTT-09,Broadcast,Teste_source_from_CBC,Teste_source_from_CBC,listener,ens35,0.0.0.0,SRT,10055,0.0.0.0,connected,7.335,05/29/26 12:52,multicast_output,UDP,50100,multicast,ens34,232.109.201.53,7.331,connected,126.27,63.28
SRT-BBC-OTT-09-WSC-1,SRT-BBC-OTT-09,Broadcast,WSC_1069_PR_FROM_CBC,WSC_1069_PR_FROM_CBC__SRC,listener,ens35,0.0.0.0,SRT,10020,0.0.0.0,connecting,0.0,05/29/26 12:52,
SRT-BBC-OTT-09-x.Cartela_SSLA_Futebol-1,SRT-BBC-OTT-09,Broadcast,x.Cartela_SSLA_Futebol,x.Cartela_SSLA_Futebol,multicast,ens34,232.109.7.199,UDP,5007,10.219.81.117,connected,3.402,05/29/26 12:52,SRT-CBC-03,SRT,10421,listener,ens35,0.0.0.0,3.402,connected,126.27,63.28
SRT-BBC-OTT-09-x.Cartela_SSLA_Normal-1,SRT-BBC-OTT-09,Broadcast,x.Cartela_SSLA_Normal,x.Cartela_SSLA_Normal,multicast,ens34,232.109.7.190,UDP,5007,10.219.81.117,connected,3.298,05/29/26 12:52,SRT-CBC-03,SRT,10422,listener,ens35,0.0.0.0,3.298,connected,126.27,63.28
SRT-BBC-OTT-09-xTeste_RX_from_JBC01-1,SRT-BBC-OTT-09,Broadcast,xTeste_RX_from_JBC01,xTeste_RX_from_JBC01,listener,ens35,0.0.0.0,SRT,10056,0.0.0.0,connecting,0.0,05/29/26 12:52,multicast_output,UDP,50100,multicast,ens34,232.109.201.55,0.000,disconnected,126.27,63.28
