Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-COBC-01-001-1,SRT-COBC-01,Broadcast,001_CBC_CoBC_STB Guide Data,CBC UTPS 31 Primary,listener,,0.0.0.0,SRT,14131,0.0.0.0,disconnected,0.0,06/01/26 10:07,Guide Data Modulator,UDP,5080,multicast,ens32,239.77.206.31,0.0,disconnected,338.39,280.05
SRT-COBC-01-002-1,SRT-COBC-01,Broadcast,002_COBC01_DL-IRD 1,ADTEC-04,multicast,ens32,239.77.216.134,UDP,8000,10.77.216.130,connected,3.573,06/01/26 10:07,COBC_MON_04,SRT,14004,listener,ens33,0.0.0.0,0,disconnected,338.39,280.05
SRT-COBC-01-003-1,SRT-COBC-01,Broadcast,003_COBC-PID_MON-01,SENCORE-01,multicast,ens32,239.77.204.111,UDP,10000,10.77.204.111,connected,36.483,06/01/26 10:07,COBC-PID_MON-01,SRT,14105,caller,ens33,10.177.58.103,0.0,disconnected,338.39,280.05
SRT-COBC-01-003-2,SRT-COBC-01,Broadcast,003_COBC-PID_MON-01,SENCORE-01,,,,,,,,,06/01/26 10:07,COBC-PID_MON-01-SRT5,SRT,14105,caller,ens33,10.177.58.105,36.471,connected,338.39,280.05
SRT-COBC-01-003-3,SRT-COBC-01,Broadcast,003_COBC-PID_MON-01,SENCORE-01,,,,,,,,,06/01/26 10:07,COBC-PID_MON-01-intnet,SRT,14105,caller,,168.195.108.103,0.0,disconnected,338.39,280.05
SRT-COBC-01-004-1,SRT-COBC-01,Broadcast,004_COBC-TX-View-1,ADTEC-03,multicast,ens32,239.77.216.133,UDP,8000,10.77.216.130,connected,3.578,06/01/26 10:07,COBC_MON_03,SRT,14003,listener,ens33,0.0.0.0,0,disconnected,338.39,280.05
SRT-COBC-01-005-1,SRT-COBC-01,Broadcast,005_COBC01_BBC01_VUTPS-70,VUTPS-70,multicast,ens32,239.77.206.70,RTP,5080,10.77.205.70,connected,47.897,06/01/26 10:07,BBC01-VUTPS-70,SRT,14025,caller,ens33,189.28.24.97,0.0,disconnected,338.39,280.05
SRT-COBC-01-006-1,SRT-COBC-01,Broadcast,006_COBC_MON-01_no borrar,ADTEC-01,multicast,ens32,239.77.216.131,UDP,8000,10.77.216.130,connected,3.577,06/01/26 10:07,COBC_MON1_01_SRT5_in1,SRT,14101,caller,ens33,10.177.58.105,3.577,connected,338.39,280.05
SRT-COBC-01-006-2,SRT-COBC-01,Broadcast,006_COBC_MON-01_no borrar,ADTEC-01,,,,,,,,,06/01/26 10:07,COBC_MON_01,SRT,14101,caller,ens33,10.177.58.103,0.0,disconnected,338.39,280.05
SRT-COBC-01-007-1,SRT-COBC-01,Broadcast,007_COBC01_MON-02,ADTEC-02,multicast,ens32,239.77.216.132,UDP,8000,10.77.216.130,connected,3.577,06/01/26 10:07,CBC TOC 1 TX View,SRT,14003,caller,ens33,10.133.92.150,3.577,connected,338.39,280.05
SRT-COBC-01-007-2,SRT-COBC-01,Broadcast,007_COBC01_MON-02,ADTEC-02,,,,,,,,,06/01/26 10:07,CBC TOC 1 TX View-intr,SRT,14003,caller,,99.193.236.203,0.0,disconnected,338.39,280.05
SRT-COBC-01-007-3,SRT-COBC-01,Broadcast,007_COBC01_MON-02,ADTEC-02,,,,,,,,,06/01/26 10:07,COBC_MON_02,SRT,14002,caller,ens33,168.195.108.103,0.000,disconnected,338.39,280.05
SRT-COBC-01-008-1,SRT-COBC-01,Broadcast,008_COBC01_MON-06,ADTEC-06,multicast,ens32,239.77.216.136,UDP,8000,10.77.216.130,connected,3.578,06/01/26 10:07,CBC TOC 2 TX View,SRT,14004,caller,ens33,10.133.92.150,3.575,connected,338.39,280.05
SRT-COBC-01-008-2,SRT-COBC-01,Broadcast,008_COBC01_MON-06,ADTEC-06,,,,,,,,,06/01/26 10:07,CBC TOC 2 TX View-intr,SRT,14004,caller,,99.193.236.203,0.0,disconnected,338.39,280.05
SRT-COBC-01-009-1,SRT-COBC-01,Broadcast,009_CoBC-PID-Filter 2,Sencore-2,multicast,ens32,239.77.216.112,UDP,10000,10.77.216.112,connected,15.324,06/01/26 10:07,Pid-Filter 2 - CoBC-CBC,SRT,14006,caller,ens33,10.133.92.150,15.324,connected,338.39,280.05
SRT-COBC-01-009-2,SRT-COBC-01,Broadcast,009_CoBC-PID-Filter 2,Sencore-2,,,,,,,,,06/01/26 10:07,Pid-Filter 2 - CoBC-CBC-intr,SRT,14006,caller,,99.193.236.203,0.000,disconnected,338.39,280.05
SRT-COBC-01-010-1,SRT-COBC-01,Broadcast,010_TX-69-MUX-CBC-CoBC,CBC SRT P,listener,,0.0.0.0,SRT,14169,0.0.0.0,connected,47.412,06/01/26 10:07,TX-69-vUTPS-P,RTP,5090,multicast,ens32,239.9.250.69,47.293,connected,338.39,280.05
SRT-COBC-01-011-1,SRT-COBC-01,Broadcast,011_TX68P-MUX-ABC_COBC,TX68P-MUX-ABC,listener,ens33,0.0.0.0,SRT,14068,0.0.0.0,connected,41.233,06/01/26 10:07,BBC-TEST,SRT,14025,caller,ens33,189.28.24.97,0.0,disconnected,338.39,280.05
SRT-COBC-01-011-2,SRT-COBC-01,Broadcast,011_TX68P-MUX-ABC_COBC,TX68P-MUX-ABC,,,,,,,,,06/01/26 10:07,TX-68-vUTPS-P,RTP,5090,multicast,ens32,239.9.250.68,41.129,connected,338.39,280.05
SRT-COBC-01-012-1,SRT-COBC-01,Broadcast,012_TX70P-MUX-ABC_COBC,TX70P-MUX-ABC,listener,ens33,0.0.0.0,SRT,14070,0.0.0.0,connected,47.942,06/01/26 10:07,TX-70-vUTPS-P,RTP,5090,multicast,ens32,239.9.250.70,47.816,connected,338.39,280.05
SRT-COBC-01-013-1,SRT-COBC-01,Broadcast,013_TX76P-MUX-ABC_COBC,TX76P-MUX-ABC,listener,ens33,0.0.0.0,SRT,14076,0.0.0.0,connected,41.231,06/01/26 10:07,TX-76-vUTPS-P,RTP,5090,multicast,ens32,239.9.250.76,41.129,connected,338.39,280.05
SRT-COBC-01-014-1,SRT-COBC-01,Broadcast,014_TX88P-MUX-ABC_COBC,TX88P-MUX-ABC,listener,ens33,0.0.0.0,SRT,14088,0.0.0.0,connected,47.954,06/01/26 10:07,TX-88-vUTPS-P,RTP,5090,multicast,ens32,239.9.250.88,47.834,connected,338.39,280.05
