Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-CBC-02-01-1,SRT-CBC-02,Broadcast,01_DirecTV Sports Venezuela Backup,Provider Encoder SRT feed,caller,eno1,138.185.64.24,SRT,20000,0.0.0.0,connected,15.324,07/16/25 11:27,CBC Video Network,UDP,5004,multicast,eno2,233.233.251.175,15.324,connected,430.34,368.46
SRT-CBC-02-02-1,SRT-CBC-02,Broadcast,02_ECUAVISA QUITO ECUADOR_BACKUP,Provider Encoder,caller,eno1,190.63.18.178,SRT,10000,0.0.0.0,connected,7.153,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.159,7.141,connected,430.34,368.46
SRT-CBC-02-03-1,SRT-CBC-02,Broadcast,03_Canal I Backup,Provider Encoder,caller,eno1,181.208.199.76,SRT,9004,0.0.0.0,connected,6.064,07/16/25 11:27,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.251.161,6.431,connected,430.34,368.46
SRT-CBC-02-04-1,SRT-CBC-02,Broadcast,04_ShowVen TV Backup,Provider Encoder,caller,,200.90.12.19,SRT,9008,0.0.0.0,connected,4.499,07/16/25 11:27,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.251.160,4.481,connected,430.34,368.46
SRT-CBC-02-05-1,SRT-CBC-02,Broadcast,05_ABC_CBC_AVAILABLE,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10072,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC Video Network,UDP,5004,multicast,eno2,233.233.251.166,0.0,disconnected,430.34,368.46
SRT-CBC-02-06-1,SRT-CBC-02,Broadcast,06_CBC_ABC_Escuela Plus HD_Contribution_B,CE105B07,multicast,eno2,239.139.223.170,UDP,5003,10.33.223.250,connected,12.262,07/16/25 11:27,SRT-ABC-02,SRT,10016,caller,eno2,168.195.108.102,12.265,connected,430.34,368.46
SRT-CBC-02-07-1,SRT-CBC-02,Broadcast,07_CBC_ABC_AVAILABLE,Backup Mux Feed,multicast,eno2,239.139.42.162,UDP,2026,10.33.42.162,disconnected,0.0,07/16/25 11:27,SRT-ABC-02,SRT,10019,caller,,168.195.108.102,0.0,disconnected,430.34,368.46
SRT-CBC-02-08-1,SRT-CBC-02,Broadcast,08_ABC_CBC_HBO HD (CAR)_B,SRT-ABC-02,listener,,0.0.0.0,SRT,10010,0.0.0.0,connected,40.858,07/16/25 11:27,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.251.163,41.222,connected,430.34,368.46
SRT-CBC-02-09-1,SRT-CBC-02,Broadcast,09_VePlus HD Backup,Provider Encoder,caller,eno1,23.134.94.88,SRT,17815,0.0.0.0,connected,4.606,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.153,4.606,connected,430.34,368.46
SRT-CBC-02-10-1,SRT-CBC-02,Broadcast,10_ABC_CBC_Playboy TV_B,SRT-ABC-02,listener,,0.0.0.0,SRT,10011,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.251.164,0.0,disconnected,430.34,368.46
SRT-CBC-02-11-1,SRT-CBC-02,Broadcast,11_ABC_CBC_FX-HD_B,SRT-ABC-04,listener,eno1,0.0.0.0,SRT,10022,0.0.0.0,connected,12.259,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.190,12.259,connected,430.34,368.46
SRT-CBC-02-12-1,SRT-CBC-02,Broadcast,12_ABC_CBC_Std-Universal-HD_B,SRT-ABC-04,listener,eno1,0.0.0.0,SRT,10023,0.0.0.0,connected,12.259,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.191,12.259,connected,430.34,368.46
SRT-CBC-02-13-1,SRT-CBC-02,Broadcast,13_ABC_CBC_UComedy-HD_B,SRT-ABC-04,listener,eno1,0.0.0.0,SRT,10024,0.0.0.0,connected,9.194,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.192,9.194,connected,430.34,368.46
SRT-CBC-02-14-1,SRT-CBC-02,Broadcast,14_VALE TV Backup,Provider Encoder,caller,,167.250.51.80,SRT,9001,0.0.0.0,connected,3.960,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.162,3.939,connected,430.34,368.46
SRT-CBC-02-15-1,SRT-CBC-02,Broadcast,15_ABC_CBC_Venus_B,SRT-ABC-02,listener,eno1,0.0.0.0,SRT,10012,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.165,0.0,disconnected,430.34,368.46
SRT-CBC-02-16-1,SRT-CBC-02,Broadcast,16_Vepaco TV Backup,Provider Encoder,caller,eno1,190.15.176.250,SRT,9010,0.0.0.0,connected,4.407,07/16/25 11:27,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.251.167,4.476,connected,430.34,368.46
SRT-CBC-02-17-1,SRT-CBC-02,Broadcast,17_CBC_CoBC_TX69 Backup MUX,HVOS CL B,multicast,eno2,239.139.48.38,UDP,5090,10.33.52.38,connected,47.412,07/16/25 11:27,SRT-CoBC-2,SRT,14169,caller,,191.102.239.102,47.412,connected,430.34,368.46
SRT-CBC-02-18-1,SRT-CBC-02,Broadcast,18_ABC_CBC_INTI_B,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10074,0.0.0.0,connecting,0.0,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.168,0.0,disconnected,430.34,368.46
SRT-CBC-02-19-1,SRT-CBC-02,Broadcast,19_TC Television_OTT Backup,Provider Encoder,caller,,190.12.3.158,SRT,10000,0.0.0.0,connected,12.259,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.169,12.259,connected,430.34,368.46
SRT-CBC-02-21-1,SRT-CBC-02,Broadcast,21_ABC_CBC Available,ABC04-FX-HD_B,listener,eno1,0.0.0.0,SRT,10022,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.190,0.0,disconnected,430.34,368.46
SRT-CBC-02-22-1,SRT-CBC-02,Broadcast,22_ABC_CBC_Available,ABC04_Std-UniversalHD_B,listener,eno1,0.0.0.0,SRT,10023,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.191,0.0,disconnected,430.34,368.46
SRT-CBC-02-23-1,SRT-CBC-02,Broadcast,23_ABC_CBC_Available,ABC04_UComedy-HD_B,listener,eno1,0.0.0.0,SRT,10024,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.192,0.0,disconnected,430.34,368.46
SRT-CBC-02-24-1,SRT-CBC-02,Broadcast,24_CoBC_CBC_MNC- TOC 2 TX View return,CoBC SRT 2,listener,,0.0.0.0,SRT,14006,0.0.0.0,connected,15.324,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.197,15.324,connected,430.34,368.46
SRT-CBC-02-25-1,SRT-CBC-02,Broadcast,25_CoBC_CBC_MNC-DL-IRD 2,SRT-CoBC-02,listener,eno1,0.0.0.0,SRT,14004,0.0.0.0,connecting,0.0,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.199,0.000,disconnected,430.34,368.46
SRT-CBC-02-26-1,SRT-CBC-02,Broadcast,26_VLC 1_CE105P05_TOC1 Cinco View,CE105P05,multicast,eno2,239.139.213.150,UDP,5003,10.33.213.250,connected,8.176,07/16/25 11:27,VLC 1 CBC,SRT,15081,listener,eno1,0.0.0.0,0,disconnected,430.34,368.46
SRT-CBC-02-27-1,SRT-CBC-02,Broadcast,27_VLC 2_CE105B05 TOC1 TX View,CE105B05,multicast,eno2,239.139.223.150,UDP,5003,10.33.223.250,connected,8.173,07/16/25 11:27,VLC 2 CBC,SRT,15082,listener,eno1,0.0.0.0,0,disconnected,430.34,368.46
SRT-CBC-02-28-1,SRT-CBC-02,Broadcast,28_VLC 3_CE101P05 TOC2 Cinco View,CE101P05,multicast,eno2,239.139.213.115,UDP,5003,10.33.213.110,connected,8.173,07/16/25 11:27,VLC 3 CBC,SRT,15083,listener,eno1,0.0.0.0,0,disconnected,430.34,368.46
