Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-OTT-05-01-1,SRT-ABC-OTT-05,Broadcast,01_AWS_1038_ECDF_BU,1038_ECDF_BU,multicast,ens192,232.248.131.6,UDP,5007,10.77.32.131,connected,15.861,05/29/26 12:51,1038_ECDF_(ECU),SRT,10410,listener,ens224,0.0.0.0,0,disconnected,319.97,302.41
SRT-ABC-OTT-05-01-2,SRT-ABC-OTT-05,Broadcast,01_AWS_1038_ECDF_BU,1038_ECDF_BU,,,,,,,,,05/29/26 12:51,Connect_to_AWS_11002,SRT,11002,listener,ens224,0.0.0.0,15.853,connected,319.97,302.41
SRT-ABC-OTT-05-02-1,SRT-ABC-OTT-05,Broadcast,02_AWS_1186_RTS_BU,1186_RTS_BU,multicast,ens192,239.77.29.60,UDP,8999,10.77.29.60,connected,13.281,05/29/26 12:51,1186_RTS_Red_Telesistemas_,SRT,10433,listener,ens224,0.0.0.0,0,disconnected,319.97,302.41
SRT-ABC-OTT-05-02-2,SRT-ABC-OTT-05,Broadcast,02_AWS_1186_RTS_BU,1186_RTS_BU,,,,,,,,,05/29/26 12:51,Connect_to_AWS_11014,SRT,11014,listener,ens224,0.0.0.0,13.281,connected,319.97,302.41
SRT-ABC-OTT-05-03-1,SRT-ABC-OTT-05,Broadcast,03_AWS_1179_Oromar_BU,1179_Oromar_BU,multicast,ens192,239.77.29.62,UDP,8999,10.77.29.62,connected,8.173,05/29/26 12:51,1179_Oromar,SRT,10432,listener,ens224,0.0.0.0,0,disconnected,319.97,302.41
SRT-ABC-OTT-05-03-2,SRT-ABC-OTT-05,Broadcast,03_AWS_1179_Oromar_BU,1179_Oromar_BU,,,,,,,,,05/29/26 12:51,Connect_to_AWS_11016,SRT,11016,listener,ens224,0.0.0.0,8.173,connected,319.97,302.41
SRT-ABC-OTT-05-1017_ATV_PLUS_HD_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1017_ATV_PLUS_HD_AWS_BU,1017_ATV_PLUS_HD_AWS_BU,multicast,ens192,239.77.17.42,UDP,8999,10.77.23.42,connected,8.173,05/29/26 12:51,1017_ATV_PLUS_HD_AWS_BU_AWS_BU,SRT,11001,listener,ens224,0.0.0.0,8.173,connected,319.97,302.41
SRT-ABC-OTT-05-1019_AXN_HD_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1019_AXN_HD_AWS_BU,1019_AXN_HD_AWS_BU,multicast,ens192,239.77.17.77,UDP,8999,10.77.23.77,connected,10.216,05/29/26 12:51,1019_AXN_HD_AWS_BU_AWS_BU,SRT,11017,listener,ens224,0.0.0.0,10.216,connected,319.97,302.41
SRT-ABC-OTT-05-1064_DIRECTV_SPORTS_OCC_1_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1064_DIRECTV_SPORTS_OCC_1_AWS_BU,1064_DIRECTV_SPORTS_OCC_1_AWS_BU,multicast,ens192,232.248.133.6,UDP,5007,10.77.32.133,connected,15.939,05/29/26 12:51,1064_DIRECTV_SPORTS_OCC_1_AWS_BU_AWS_BU,SRT,11003,listener,ens224,0.0.0.0,15.943,connected,319.97,302.41
SRT-ABC-OTT-05-1097_ESPN_2_LATIN_CHILE_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1097_ESPN_2_LATIN_CHILE_AWS_BU,1097_ESPN_2_LATIN_CHILE_AWS_BU,multicast,ens192,239.77.17.132,UDP,8999,10.77.23.132,connected,20.429,05/29/26 12:51,1097_ESPN_2_LATIN_CHILE_AWS_BU_AWS_BU,SRT,11004,listener,ens224,0.0.0.0,20.454,connected,319.97,302.41
SRT-ABC-OTT-05-1099_ESPN_2_ARGENTINA_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1099_ESPN_2_ARGENTINA_AWS_BU,1099_ESPN_2_ARGENTINA_AWS_BU,multicast,ens192,232.248.131.7,UDP,5007,10.77.32.131,connected,16.049,05/29/26 12:51,1099_ESPN_2_ARGENTINA_AWS_BU_AWS_BU,SRT,11005,listener,ens224,0.0.0.0,16.025,connected,319.97,302.41
SRT-ABC-OTT-05-1102_ESPN_3_ANDINA_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1102_ESPN_3_ANDINA_AWS_BU,1102_ESPN_3_ANDINA_AWS_BU,multicast,ens192,232.248.131.5,UDP,5007,10.77.32.131,connected,15.923,05/29/26 12:51,1102_ESPN_3_ANDINA_AWS_BU_AWS_BU,SRT,11006,listener,ens224,0.0.0.0,15.925,connected,319.97,302.41
SRT-ABC-OTT-05-1135_Golf Channel_DR-1,SRT-ABC-OTT-05,Broadcast,1135_Golf Channel_DR,1135_Golf Channel_DR,multicast,ens192,239.77.17.86,UDP,8999,10.77.23.86,connected,10.216,05/29/26 12:51,JBC05,SRT,10010,caller,ens224,189.28.31.5,10.216,connected,319.97,302.41
SRT-ABC-OTT-05-1154_LA_NACION_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1154_LA_NACION_AWS_BU,1154_LA_NACION_AWS_BU,multicast,ens192,232.248.132.10,UDP,5007,10.77.32.132,connected,15.835,05/29/26 12:51,1154_LA_NACION_AWS_BU_AWS_BU,SRT,11007,listener,ens224,0.0.0.0,15.841,connected,319.97,302.41
SRT-ABC-OTT-05-1156_LA_TV_PUBLICA_HD_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1156_LA_TV_PUBLICA_HD_AWS_BU,1156_LA_TV_PUBLICA_HD_AWS_BU,multicast,ens192,232.248.136.5,UDP,5007,10.77.32.136,connected,15.861,05/29/26 12:51,1156_LA_TV_PUBLICA_HD_AWS_BU_AWS_BU,SRT,11008,listener,ens224,0.0.0.0,15.853,connected,319.97,302.41
SRT-ABC-OTT-05-1160_CIUDAD_MAGACINE_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1160_CIUDAD_MAGACINE_AWS_BU,1160_CIUDAD_MAGACINE_AWS_BU,multicast,ens192,232.248.136.3,UDP,5007,10.77.32.136,connected,15.845,05/29/26 12:51,1160_CIUDAD_MAGACINE_AWS_BU_AWS_BU,SRT,11009,listener,ens224,0.0.0.0,15.869,connected,319.97,302.41
SRT-ABC-OTT-05-1210_STUDIO_UNIVERSAL_HD_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1210_STUDIO_UNIVERSAL_HD_AWS_BU,1210_STUDIO_UNIVERSAL_HD_AWS_BU,multicast,ens192,239.77.17.16,UDP,8999,10.77.23.16,connected,12.259,05/29/26 12:51,1210_STUDIO_UNIVERSAL_HD_AWS_BU_AWS_BU,SRT,11010,listener,ens224,0.0.0.0,12.259,connected,319.97,302.41
SRT-ABC-OTT-05-1215_TELEDOCE_HD_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1215_TELEDOCE_HD_AWS_BU,1215_TELEDOCE_HD_AWS_BU,multicast,ens192,239.77.17.175,UDP,8999,10.77.23.175,connected,15.324,05/29/26 12:51,1215_TELEDOCE_HD_AWS_BU_AWS_BU,SRT,11018,listener,ens224,0.0.0.0,15.324,connected,319.97,302.41
SRT-ABC-OTT-05-1219_TELETRACK_AWS_BU-1,SRT-ABC-OTT-05,Broadcast,1219_TELETRACK_AWS_BU,1219_TELETRACK_AWS_BU,multicast,ens192,239.77.17.192,UDP,8999,10.77.23.192,connected,10.216,05/29/26 12:51,1219_TELETRACK_AWS_BU_AWS_BU,SRT,11012,listener,ens224,0.0.0.0,0,disconnected,319.97,302.41
