Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-COBC-02-001-1,SRT-COBC-02,Broadcast,001_C0BC PID Filter 4,Sencore 4,multicast,ens32,239.77.216.114,UDP,10000,10.77.216.114,connected,15.324,06/04/26 11:19,Pid-Filter-4-CoBC-CBC,SRT,14006,caller,ens33,154.197.114.205,0.000,disconnected,356.72,259.75
SRT-COBC-02-002-1,SRT-COBC-02,Broadcast,002_COBC-PID_MON-02,SENCORE-02,multicast,ens32,239.77.204.113,UDP,10000,10.77.204.113,connected,15.324,06/04/26 11:19,COBC-PID_MON-02,SRT,14005,caller,ens33,10.177.58.101,0.000,disconnected,356.72,259.75
SRT-COBC-02-003-1,SRT-COBC-02,Broadcast,003_COBC02_ABC05_PID-MON-01_2doflujo,SENCORE-01,multicast,,239.77.204.111,UDP,10000,10.77.204.111,connection established,0.0,06/04/26 11:19,
SRT-COBC-02-004-1,SRT-COBC-02,Broadcast,004_COBC_MON-05_TX-TOC2ABC,ADTEC-05,multicast,ens32,239.77.216.135,UDP,8000,10.77.216.130,connected,3.577,06/04/26 11:19,COBC_MON-05,SRT,14001,caller,ens33,10.177.58.103,0.0,disconnected,356.72,259.75
SRT-COBC-02-004-2,SRT-COBC-02,Broadcast,004_COBC_MON-05_TX-TOC2ABC,ADTEC-05,,,,,,,,,06/04/26 11:19,COBC_MON_05_SRT5,SRT,14001,caller,ens33,10.177.58.105,3.577,connected,356.72,259.75
SRT-COBC-02-005-1,SRT-COBC-02,Broadcast,005_COBC_MON-06,ADTEC-06,multicast,ens32,239.77.216.136,UDP,8000,10.77.216.130,connected,3.575,06/04/26 11:19,COBC_MON-06,SRT,14102,caller,ens33,10.177.58.103,0.000,disconnected,356.72,259.75
SRT-COBC-02-006-1,SRT-COBC-02,Broadcast,006_COBCX2_ABC05_MON-01_2TXView1,ADTEC-01,multicast,ens32,239.77.216.131,UDP,8000,10.77.216.130,connected,3.577,06/04/26 11:19,abc05_in2,SRT,14101,caller,ens33,168.195.108.105,3.577,connected,356.72,259.75
SRT-COBC-02-006-1,SRT-COBC-02,Broadcast,006_COBC_MON-07,ADTEC-07,multicast,ens32,239.77.216.137,UDP,8000,10.77.216.130,disconnected,0.0,06/04/26 11:19,COBC_MON-07,SRT,14003,listener,ens33,0.0.0.0,0,disconnected,356.72,259.75
SRT-COBC-02-007-1,SRT-COBC-02,Broadcast,007_COBC_MON-08,ADTEC-08,multicast,ens32,239.77.216.138,UDP,8000,10.77.216.130,connection established,0.0,06/04/26 11:19,COBC_MON-08,SRT,14004,caller,ens33,10.177.58.103,0.000,disconnected,356.72,259.75
SRT-COBC-02-008-1,SRT-COBC-02,Broadcast,008_CoBC-TX-View-1,ADTEC-03,multicast,ens32,239.77.216.133,UDP,8000,10.77.216.130,connected,3.576,06/04/26 11:19,TX-View 1 - CoBC-CBC,SRT,14003,caller,ens33,99.193.236.205,0.000,disconnected,356.72,259.75
SRT-COBC-02-009-1,SRT-COBC-02,Broadcast,009_TX-69-MUX-CBC-CoBC,CBC SRT B,listener,,0.0.0.0,SRT,14169,0.0.0.0,connected,47.423,06/04/26 11:19,TX-69-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.69,47.293,connected,356.72,259.75
SRT-COBC-02-010-1,SRT-COBC-02,Broadcast,010_TX68B-MUX-ABC_COBC,TX68B-MUX-ABC,listener,ens33,0.0.0.0,SRT,14068,0.0.0.0,connected,41.233,06/04/26 11:19,TX-68-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.68,41.129,connected,356.72,259.75
SRT-COBC-02-011-1,SRT-COBC-02,Broadcast,011_TX70B-MUX-ABC_COBC02,TX70B-MUX-ABC,listener,ens33,0.0.0.0,SRT,14070,0.0.0.0,connected,47.930,06/04/26 11:19,70 SRT Test,SRT,14270,listener,,0.0.0.0,0,disconnected,356.72,259.75
SRT-COBC-02-011-2,SRT-COBC-02,Broadcast,011_TX70B-MUX-ABC_COBC02,TX70B-MUX-ABC,,,,,,,,,06/04/26 11:19,TX-70-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.70,47.810,connected,356.72,259.75
SRT-COBC-02-012-1,SRT-COBC-02,Broadcast,012_TX76B-MUX-ABC_COBC,TX76B-MUX-ABC,listener,ens33,0.0.0.0,SRT,14076,0.0.0.0,connected,41.230,06/04/26 11:19,TX-76-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.76,41.127,connected,356.72,259.75
SRT-COBC-02-013-1,SRT-COBC-02,Broadcast,013_TX88B-MUX-ABC_COBC,TX88B-MUX-ABC,listener,ens33,0.0.0.0,SRT,14088,0.0.0.0,connected,47.930,06/04/26 11:19,TX-88-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.88,47.810,connected,356.72,259.75
SRT-COBC-02-014-1,SRT-COBC-02,Broadcast,014_TX-65-MUX-CBC-COBC,CBC SRT B,listener,,0.0.0.0,SRT,14165,0.0.0.0,connecting,0.0,06/04/26 11:19,BBC-2,SRT,14025,caller,ens32,189.28.24.97,0.0,disconnected,356.72,259.75
SRT-COBC-02-014-2,SRT-COBC-02,Broadcast,014_TX-65-MUX-CBC-COBC,CBC SRT B,,,,,,,,,06/04/26 11:19,TX-65-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.65,0.0,disconnected,356.72,259.75
SRT-COBC-02-015-1,SRT-COBC-02,Broadcast,015_TX-66-MUX-CBC-COBC,CBC SRT B,listener,,0.0.0.0,SRT,14166,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-66-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.66,0,,356.72,259.75
SRT-COBC-02-016-1,SRT-COBC-02,Broadcast,016_TX-67-MUX-CBC-COBC,CBC SRT B,listener,,0.0.0.0,SRT,14167,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-67-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.67,0,,356.72,259.75
SRT-COBC-02-017-1,SRT-COBC-02,Broadcast,017_TX-73-MUX-CBC-CoBC,CBC SRT B,listener,,0.0.0.0,SRT,14173,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-73-vUTPS-B,RTP,5090,multicast,ens32,239.9.251.73,0,,356.72,259.75
SRT-COBC-02-018-1,SRT-COBC-02,Broadcast,018_TX65B-VUTPS-CBC_COBC,TX65-UTPS-CBC,listener,ens33,0.0.0.0,SRT,14065,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX65_MOD,RTP,5080,multicast,ens32,239.77.218.65,0,,356.72,259.75
SRT-COBC-02-019-1,SRT-COBC-02,Broadcast,019_TX66B-VUTPS-CBC_COBC,TX66-VUTPS-ABC,listener,,0.0.0.0,SRT,14066,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-66,RTP,5080,multicast,ens32,239.77.218.66,0,,356.72,259.75
SRT-COBC-02-020-1,SRT-COBC-02,Broadcast,020_TX67B-vUTPS-CBC_COBC,TX67B-vUTPS-CBC,listener,ens33,0.0.0.0,SRT,14067,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-67,RTP,5080,multicast,ens32,239.77.218.67,0,,356.72,259.75
SRT-COBC-02-021-1,SRT-COBC-02,Broadcast,021_TX68B-UTPS-ABC_COBC,TX68-UTPS-ABC,listener,,0.0.0.0,SRT,14068,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-68,RTP,5080,multicast,ens32,239.77.218.68,0,,356.72,259.75
SRT-COBC-02-022-1,SRT-COBC-02,Broadcast,022_TX69B-UTPS-CBC_COBC,TX69-UTPS-CBC,listener,ens33,0.0.0.0,SRT,14069,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-69,RTP,5080,multicast,ens32,239.77.218.69,0,,356.72,259.75
SRT-COBC-02-023-1,SRT-COBC-02,Broadcast,023_TX70B-UTPS-ABC_COBC,TX70-UTPS-ABC,listener,ens33,0.0.0.0,SRT,14070,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-70,RTP,5080,multicast,ens32,239.77.218.70,0,,356.72,259.75
SRT-COBC-02-024-1,SRT-COBC-02,Broadcast,024_TX73B-UTPS-CBC_COBC,TX73-UTPS-CBC,listener,ens33,0.0.0.0,SRT,14073,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-73,RTP,5080,multicast,ens32,239.77.218.73,0,,356.72,259.75
SRT-COBC-02-025-1,SRT-COBC-02,Broadcast,025_TX76B-UTPS-ABC_COBC,TX76-UTPS-ABC,listener,ens33,0.0.0.0,SRT,14075,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-76,RTP,5080,multicast,ens32,239.77.218.76,0,,356.72,259.75
SRT-COBC-02-026-1,SRT-COBC-02,Broadcast,026_TX88B-UTPS-ABC_COBC,TX88-UTPS-ABC,listener,,0.0.0.0,SRT,14088,0.0.0.0,disconnected,0.0,06/04/26 11:19,TX-88,RTP,5080,multicast,ens32,239.77.218.88,0,,356.72,259.75
SRT-COBC-02-027-1,SRT-COBC-02,Broadcast,027_COBC02-ABC04_EVC01-P3,EVC01-P3,unicast,,rtsp://172.22.96.51/hiProxy_port3,RTSP,554,0.0.0.0,disconnected,0.0,06/04/26 11:19,ABC04,SRT,10050,caller,,168.195.108.104,0.000,disconnected,356.72,259.75
SRT-COBC-02-071-1,SRT-COBC-02,Broadcast,071_akamai_cobc02_poc,akamai_return,caller,ens33,172.233.26.67,SRT,6002,0.0.0.0,connecting,0.0,06/04/26 11:19,lan_cobc02,UDP,10000,multicast,ens34,238.77.26.71,0.000,disconnected,356.72,259.75
SRT-COBC-02-101-1,SRT-COBC-02,Broadcast,101_tata_cobc_Tx65_bk,Tx65,listener,ens33,0.0.0.0,SRT,10101,0.0.0.0,connecting,0.0,06/04/26 11:19,
SRT-COBC-02-102-1,SRT-COBC-02,Broadcast,102_tata_cobc02_tx-66_bk,tx66_bk,listener,ens33,0.0.0.0,SRT,10102,0.0.0.0,connecting,0.0,06/04/26 11:19,
SRT-COBC-02-103-1,SRT-COBC-02,Broadcast,103_tata_cobc02_tx-67_bk,tx67_bk,listener,ens33,0.0.0.0,SRT,10103,0.0.0.0,connected,36.152,06/04/26 11:19,vutps,RTP,5090,multicast,ens32,239.9.251.67,36.031,connected,356.72,259.75
SRT-COBC-02-104-1,SRT-COBC-02,Broadcast,104_tata_cobc02_ Tx69_bk, Tx69_bk,listener,ens33,0.0.0.0,SRT,10104,0.0.0.0,connected,10.757,06/04/26 11:19,
SRT-COBC-02-105-1,SRT-COBC-02,Broadcast,105_tata_cobc_Tx73_bk,Tx73,listener,ens33,0.0.0.0,SRT,10105,0.0.0.0,disconnected,0.0,06/04/26 11:19,
