Description;Asset;Route Name;Source Name;Asset Type;Source State;Destination State;Destination Name;Source Mode;Destination Mode;Source Interface;Destination Interface;Source Protocol;Destination Protocol;Source BW;Destination BW;S_SSM;Destination IP;Source Address;Destination Port;Source Port;Last Update;BW In Total;BW Out Total
SRT-COBC-01-021-1;SRT-COBC-01;021_TX67P-vUTPS-CBC_COBC;TX67P-vUTPS-CBC;Broadcast;disconnected;;TX-67;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.67;0.0.0.0;5,080;14,067;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-019-1;SRT-COBC-01;019_TX65P-vUPTS-CBC_COBC;TX65-UTPS;Broadcast;disconnected;;TX65-MOD;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.65;0.0.0.0;5,080;14,065;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-024-1;SRT-COBC-02;024_TX73B-UTPS-CBC_COBC;TX73-UTPS-CBC;Broadcast;disconnected;;TX-73;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.73;0.0.0.0;5,080;14,073;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-022-1;SRT-COBC-02;022_TX69B-UTPS-CBC_COBC;TX69-UTPS-CBC;Broadcast;disconnected;;TX-69;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.69;0.0.0.0;5,080;14,069;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-018-1;SRT-COBC-01;018_TX-73-MUX-CBC-COBC;CBC SRT P;Broadcast;disconnected;;TX-73-vUPTS-P;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.9.250.73;0.0.0.0;5,090;14,173;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-011-2;SRT-COBC-01;011_TX68P-MUX-ABC_COBC;TX68P-MUX-ABC;Broadcast;;connected;TX-68-vUTPS-P;;Multicast;;ens32;;RTP;;41.13;;239.9.250.68;;5,090;;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-021-1;SRT-COBC-02;021_TX68B-UTPS-ABC_COBC;TX68-UTPS-ABC;Broadcast;disconnected;;TX-68;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.68;0.0.0.0;5,080;14,068;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-019-1;SRT-COBC-02;019_TX66B-VUTPS-CBC_COBC;TX66-VUTPS-ABC;Broadcast;disconnected;;TX-66;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.66;0.0.0.0;5,080;14,066;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-017-1;SRT-COBC-02;017_TX-73-MUX-CBC-CoBC;CBC SRT B;Broadcast;disconnected;;TX-73-vUTPS-B;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.9.251.73;0.0.0.0;5,090;14,173;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-015-1;SRT-COBC-02;015_TX-66-MUX-CBC-COBC;CBC SRT B;Broadcast;disconnected;;TX-66-vUTPS-B;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.9.251.66;0.0.0.0;5,090;14,166;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-014-1;SRT-COBC-02;014_TX-65-MUX-CBC-COBC;CBC SRT B;Broadcast;connecting;disconnected;BBC-2;Listener;Caller;;ens32;SRT;SRT;0;0;0.0.0.0;189.28.24.97;0.0.0.0;14,025;14,165;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-012-1;SRT-COBC-02;012_TX76B-MUX-ABC_COBC;TX76B-MUX-ABC;Broadcast;connected;connected;TX-76-vUTPS-B;Listener;Multicast;ens33;ens32;SRT;RTP;41.23;41.15;0.0.0.0;239.9.251.76;0.0.0.0;5,090;14,076;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-011-1;SRT-COBC-02;011_TX70B-MUX-ABC_COBC02;TX70B-MUX-ABC;Broadcast;connected;disconnected;70 SRT Test;Listener;Listener;ens33;;SRT;SRT;47.93;0;0.0.0.0;0.0.0.0;0.0.0.0;14,270;14,070;2/6/2026 09:36;391.76;259.43
