Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-04-003-1,SRT-ABC-04,Broadcast,003_manavision_abc04_bk,manavision,caller,ens33,190.57.161.184,SRT,5000,0.0.0.0,connected,6.449,06/01/26 10:06,harmonic,UDP,10000,multicast,ens34,238.77.24.3,6.449,connected,317.91,424.11
SRT-ABC-04-004-1,SRT-ABC-04,Broadcast,004_ABC04_INTER-TV-DTV-SPORTS-2_P,DTV-SPORTS-2,multicast,ens34,239.195.6.6,UDP,8000,10.77.6.6,connected,13.943,06/01/26 10:06,INTERTV-NETUNO,SRT,10037,listener,ens33,0.0.0.0,13.942,connected,317.91,424.11
SRT-ABC-04-004-2,SRT-ABC-04,Broadcast,004_ABC04_INTER-TV-DTV-SPORTS-2_P,DTV-SPORTS-2,,,,,,,,,06/01/26 10:06,PUBLICIDAD_MULTIMEDIAA_LLC,SRT,10104,listener,ens33,0.0.0.0,13.948,connected,317.91,424.11
SRT-ABC-04-004-3,SRT-ABC-04,Broadcast,004_ABC04_INTER-TV-DTV-SPORTS-2_P,DTV-SPORTS-2,,,,,,,,,06/01/26 10:06,TUVES(INTERTV-CHILE),SRT,10204,listener,ens33,0.0.0.0,13.946,connected,317.91,424.11
SRT-ABC-04-005-1,SRT-ABC-04,Broadcast,005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P,DTVSPORTS-PLUS,multicast,ens34,239.195.6.7,UDP,8000,10.77.6.7,connected,14.143,06/01/26 10:06,ETB_Colombia_P,SRT,10305,listener,ens33,0.0.0.0,0,disconnected,317.91,424.11
SRT-ABC-04-005-2,SRT-ABC-04,Broadcast,005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P,DTVSPORTS-PLUS,,,,,,,,,06/01/26 10:06,INTERTV-NETUNO,SRT,10038,listener,ens33,0.0.0.0,14.139,connected,317.91,424.11
SRT-ABC-04-005-3,SRT-ABC-04,Broadcast,005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P,DTVSPORTS-PLUS,,,,,,,,,06/01/26 10:06,PUBLICIDAD_MULTIMEDIA_P,SRT,10105,listener,ens33,0.0.0.0,14.151,connected,317.91,424.11
SRT-ABC-04-005-4,SRT-ABC-04,Broadcast,005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P,DTVSPORTS-PLUS,,,,,,,,,06/01/26 10:06,SIMPLE-TV,SRT,2108,caller,ens33,138.185.64.44,14.149,connected,317.91,424.11
SRT-ABC-04-005-5,SRT-ABC-04,Broadcast,005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P,DTVSPORTS-PLUS,,,,,,,,,06/01/26 10:06,TUVES(INTERTV-CHILE),SRT,10205,listener,ens33,0.0.0.0,14.143,connected,317.91,424.11
SRT-ABC-04-006-1,SRT-ABC-04,Broadcast,006_ABC_INTER-TV_DTV-SPORTS-PAN_P,DTV-SPORTS-PAN,multicast,ens34,239.195.6.5,UDP,8000,10.77.6.5,connected,13.936,06/01/26 10:06,INTERTV-NETUNO,SRT,10039,listener,ens33,0.0.0.0,13.936,connected,317.91,424.11
SRT-ABC-04-006-2,SRT-ABC-04,Broadcast,006_ABC_INTER-TV_DTV-SPORTS-PAN_P,DTV-SPORTS-PAN,,,,,,,,,06/01/26 10:06,PUBLICIDAD_MULTIMEDIA_P,SRT,10106,listener,ens33,0.0.0.0,13.939,connected,317.91,424.11
SRT-ABC-04-006-3,SRT-ABC-04,Broadcast,006_ABC_INTER-TV_DTV-SPORTS-PAN_P,DTV-SPORTS-PAN,,,,,,,,,06/01/26 10:06,RCV MON TOC 3,UDP,10000,multicast,ens34,238.77.23.6,13.943,connected,317.91,424.11
SRT-ABC-04-006-4,SRT-ABC-04,Broadcast,006_ABC_INTER-TV_DTV-SPORTS-PAN_P,DTV-SPORTS-PAN,,,,,,,,,06/01/26 10:06,TUVES(INTERTV-CHILE),SRT,10206,listener,ens33,0.0.0.0,0,disconnected,317.91,424.11
SRT-ABC-04-011-1,SRT-ABC-04,Broadcast,011_TATA_ABC_POC-CHN1-LiveSports,RXCE105-06 Return,listener,ens33,0.0.0.0,SRT,2000,0.0.0.0,connecting,0.0,06/01/26 10:06,lan,UDP,10000,multicast,ens34,238.77.24.11,0.0,disconnected,317.91,424.11
SRT-ABC-04-012-1,SRT-ABC-04,Broadcast,012_TATA_ABC04_POC-CHN2_AD Insertion,RX1120 Return,listener,ens33,0.0.0.0,SRT,2050,0.0.0.0,connecting,0.0,06/01/26 10:06,lan,UDP,10000,multicast,ens34,238.77.24.12,0.0,disconnected,317.91,424.11
SRT-ABC-04-013-1,SRT-ABC-04,Broadcast,013_TATA_ABC04_POC CHN3_PPV,PPV Channel Return,listener,ens33,0.0.0.0,SRT,2100,0.0.0.0,connecting,0.0,06/01/26 10:06,lan,UDP,10000,multicast,ens34,238.77.24.13,0.0,disconnected,317.91,424.11
SRT-ABC-04-015-1,SRT-ABC-04,Broadcast,015_ DShow_a_Proveedores_B,DShow_Ateme_OTT_B,multicast,ens34,232.248.131.4,UDP,5007,10.77.32.131,connected,8.274,06/01/26 10:06,DShow_ETB_B,SRT,10015,listener,ens33,0.0.0.0,0,disconnected,317.91,424.11
SRT-ABC-04-017-1,SRT-ABC-04,Broadcast,017_cinemaplus_abc04_bk,cinemaplus_b,caller,ens33,38.110.1.132,SRT,9994,0.0.0.0,connection established,0.0,06/01/26 10:06,harmonic,UDP,10000,multicast,ens34,238.77.24.17,0.000,disconnected,317.91,424.11
SRT-ABC-04-018-1,SRT-ABC-04,Broadcast,018_migente_abc04_bk,migente_bk,caller,ens33,38.110.1.132,SRT,9996,0.0.0.0,connected,3.064,06/01/26 10:06,etb_a confirmar,SRT,10018,listener,ens33,0.0.0.0,0,disconnected,317.91,424.11
SRT-ABC-04-018-2,SRT-ABC-04,Broadcast,018_migente_abc04_bk,migente_bk,,,,,,,,,06/01/26 10:06,harmonic,UDP,10000,multicast,ens34,238.77.24.18,3.072,connected,317.91,424.11
SRT-ABC-04-021-1,SRT-ABC-04,Broadcast,021_ABC04_CBC02_FX-HD_BK,FX-HD_BK,multicast,ens34,239.77.17.58,UDP,8999,10.77.23.58,connected,12.259,06/01/26 10:06,CBC02,SRT,10022,caller,ens33,154.197.114.205,12.259,connected,317.91,424.11
SRT-ABC-04-022-1,SRT-ABC-04,Broadcast,022_ABC04_CBC02_Std-UniversalHD_BK,Std-UniversalHD_B,multicast,ens34,239.77.17.16,UDP,8999,10.77.23.16,connected,12.259,06/01/26 10:06,CBC02,SRT,10023,caller,ens33,154.197.114.205,12.259,connected,317.91,424.11
SRT-ABC-04-023-1,SRT-ABC-04,Broadcast,023_ABC04_CBC02_UComedy-HD_BK,UComedy-HD_B,multicast,ens34,239.77.29.8,UDP,8999,10.77.29.8,connected,9.194,06/01/26 10:06,CBC02,SRT,10024,caller,ens33,154.197.114.205,9.194,connected,317.91,424.11
